,Słowo,Opis
0,Alkohol etylowy,substancja znajdująca się w winie i innych napojach alkoholowych będąca jednym z alkoholi prostych. Spożyty w nadmiernych ilościach odpowiada przede wszystkim za stan upojenia i konsekwencje z nim związane. W niewielkich dawkach potrafi wpływać w sposób korzystny na kondycję organizmu i mieć właściwości lecznicze. 
1,Antocyjany,"barwniki zawarte w roślinach, także w winogronach, głównie ich skórce. Odpowiadają za barwę i pH wina, szczególnie czerwonego. Nazywane są również pigmentami."
2,Apelacja,"określenie zbioru praw związanych ze sposobem, jakością i obszarem powstawania win, które nazwę danej apelacji noszą na swojej etykiecie."
3,Azienda agricola,"posiadłość winiarska we Włoszech, produkująca wina tylko z winogron wyprodukowanych we własnych winnicach."
4,Azienda vinicola,"posiadłość winiarska we Włoszech, produkująca wina także z win lub gron zakupionych od innych producentów."
5,Baume,australijska jednostka stężenia cukru rezydualnego w moszczu. Bezpośrednio związana z dojrzałością gron i potencjalną możliwą alkoholowością wina.
6,Barrique,"najczęściej dębowa beczka pochodząca z Bordeaux, obecnie popularna na całym świecie. Jej pojemność wynosi 225l. Potrafi wyraźnie zmienić kształt i smak wina, szczególnie, gdy jest nowa."
7,Battonage,"czynność możliwa do wykonywania w czasie różnych etapów winifikacji. Oznacza mieszanie wina nad osadem. W dawnych czasach mieszanie wykonywano manualnie kijem, w jęz. francuskim "
8,Bodega,słowo oznaczające w Hiszpanii piwnicę lub producenta win.
9,Botrytis,grzyb atakujący grona winorośli. Forma szlachetna Botrytis cinerea nazywana jest „czerwoną pleśnią” i pozwala uzyskać wyjątkowe wina słodkie. Forma szkodliwa nazywana „szarą pleśnią” prowadzi do gnicia gron.
10,Brettanomyces,"usterka wina spowodowana szkodliwą formą drożdży, nazywana popularnie „brett”. Jej skutkiem jest zmiana charakteru wina poprzez dodanie smaku określanego jako „mysi”."
11,Brix ,amerykańska jednostka stężenia cukru rezydualnego w moszczu. Bezpośrednio związana z dojrzałością gron i potencjalną możliwą alkoholowością wina.
12,Cantina,słowo oznaczające we Włoszech piwnicę lub producenta win.
13,Chateau,francuski termin oznaczający (szczególnie w Bordeaux) posiadłość władającą winnicami i produkującą wino. 
14,Clos,"słowo oznaczające we Francji, głównie Burgundii, a także w katalońskim Priorat, winnicę otoczoną murem."
15,Choroba Pierce’a,"roznoszona przez owady z grupy skoczków, nieuleczalna choroba winorośli prowadząca do jej obumarcia w ciągu kilku lat od pierwszych symptomów, którymi są plamy martwicy na liściach."
16,Coulure ,pochodzący z języka francuskiego termin opisujący zjawisko zachodzące z przyczyn atmosferycznych polegające na niezawiązaniu się wszystkich pąków na winoroślach w owoce.
17,Cru,"pochodzące z języka francuskiego słowo określające status lub jakość danej winnicy. Obecnie używany także poza Francją, raczej informacyjnie podczas rozmów a nie oficjalnie na etykietach."
18,Cru classe,pochodzący z języka francuskiego termin używany w Bordeaux do określenia statusu klasyfikacji parceli. Zależnie od apelacji systemy stopniowania i zasad przyznawania statusu różnią się.
19,Cukier resztowy,cukier pozostający w winie po przefermentowaniu do założonego pułapu alkoholu. Bezpośrednio związany ze smakiem i typem wina. Jego stężenie podaje się w gramach na litr (g/l).
20,Cukier rezydualny,"cukier zawarty w gronach lub moszczu, bezpośrednio związany z możliwą do osiągnięcia alkoholowości wina a także jego smakiem. Jego stężenie podaje się zależnie od regionu świata w stopniach Balling, Baume, Brix, Oeschle lub Plato."
21,Cuvee,"używane obecnie na całym świecie słowo pochodzące z języka francuskiego, oznaczające uzyskanie wina metodą zestawienia win lub gron pochodzących z kilku szczepów lub winnic."
22,Dokwaszanie,"dodawanie do moszczu lub gotowego wina kwasu, lub innych substancji, np. wytrawnego wina, mogących podnieść odczuwalną lub rzeczywistą kwasowość wina."
23,Domaine,francuski termin oznaczający (szczególnie w Burgundii) posiadłość produkującą wino.
24,Dosage,francuski termin określający (szczególnie w Szampanii) ilość cukru dodanego do wina musującego przed zamknięciem. 
25,Elevage,"pochodzący z języka francuskiego termin określający zbiór czynności wykonywanych w winiarni podczas dojrzewania wina, zawartych pomiędzy fermentacją a jego butelkowaniem."
26,Enologia,termin pochodzący od greckich słów 
27,En primeur ,"francuski termin oznaczający możliwość zakupu wina przed jego zabutelkowaniem, na podstawie próbek z beczek ocenianych w następnym roku po zbiorach."
28,Fermentacja,proces przemiany cukru zawartego w moszczu przez kultury drożdży w alkohol i dwutlenek węgla.
29,Filoksera ,"pochodząca z Ameryki mszyca żywiąca się korzeniami winorośli, doprowadzając do jej obumarcia. Niektóre amerykańskie rodziny winorośli są na nią uodpornione, dlatego obecnie odmiany Vitis vinifera szczepi się na podkładkach uzyskanych z tych rodzin."
30,Filtrowanie ,"zabieg polegający na przepuszczaniu wina przez filtry o różnych sposobach działania, którego celem jest usunięcie zanieczyszczeń i drobnoustrojów w nim się znajdujących."
31,Flor ,termin pochodzący z jęz. hiszpańskiego oznaczający kożuch powstający na powierzchni dojrzewającego wina z obumierających drożdży na winach Sherry. Aktualnie używany na całym świecie.
32,Grand Cru ,"pochodzący z języka francuskiego termin określający winnicę najwyższej jakości, głównie w Burgundii, ale także Alzacji, Szampanii i innych."
33,Keller,słowo oznaczające w Niemczech piwnicę win.
34,Klarowanie,"technika oczyszczania wina znajdującego się w kadzi lub beczce. Do przeprowadzenia tej czynności używa się białek kurzych jaj lub bentonitu, które opadając na dno pojemnika wiążą i zabierają ze sobą zanieczyszczenia. "
35,Kożuch,"utworzona z pomielonych przed fermentacją gron masa, składająca się ze skórek, pestek i szypułek. Unosząc się na fermentującym moszczu, pozwala mu ługować ze swojego wnętrza polifenole, antocyjany, cukry i pozostałe związki ważne dla konstrukcji tworzącego się wina. "
36,Maceracja,"proces polegający na utrzymywaniu kontaktu pomiędzy fermentującym moszczem a kożuchem, dzięki czemu możliwe jest ługowanie z kożucha związków ważnych dla końcowego kształtu wina."
37,Mączniak,"dość często spotykana choroba winorośli, przed którą winiarze mogą uchronić się stosując opryski środkami chemicznymi. Znane są dwie odmiany tej choroby: mączniak rzekomy i mączniak prawdziwy."
38,Mezoklimat,"określenie warunków klimatycznych dotyczących małego obszaru, często pojedynczej winnicy, stanowiący ważny składnik jego terroir."
39,Mieszanie kożucha,czynność mająca na celu stworzenie fermentującemu moszczowi dodatkowej możliwości ługowania związków zawartych w kożuchu. Polega na zanurzaniu (mechanicznym lub manualnym) kożucha w moszczu.
40,Millerandange ,pochodzący z języka francuskiego termin określający zjawisko nierównomiernego zawiązywania się owoców w jednej kiści.
41,Moszcz,"skoncentrowany sok uzyskany po odciśnięciu lub zmieleniu gron, będący bazą do uzyskania wina, po zaszczepieniu w nim kultur drożdży zdolnych go przefermentować."
42,Negociant,"słowo pochodzące z języka francuskiego, oznaczające kupca i dystrybutora, często także samodzielnie zestawiającego i butelkującego zakupione od producentów wina."
43,NV,"non vintage, pochodzący z języka francuskiego termin najczęściej używany przez producentów win musujących, oznaczający użycie w cuvee win z różnych roczników."
44,Obciąg,czynność polegająca na przemieszczeniu dojrzewającego wina z jednego pojemnika (kadzi lub beczki) do drugiego. Ma na celu pozostawienie osadu powstałego w czasie dojrzewania w pierwszym pojemniku i natlenienie wina w celu uniknięcia redukcji jego aromatów.
45,Odkwaszanie,proces mający na celu obniżenie stężenia kwasów w winie lub moszczu za pomocą wody lub kredy. Najczęściej stosowany w chłodnych regionach winiarskich lub zimnych rocznikach.
46,Oeschle,niemiecka jednostka stężenia cukru rezydualnego w moszczu. Bezpośrednio związana z dojrzałością gron i potencjalną możliwą alkoholowością wina.
47,Osad ,wynik opadania substancji stałych znajdujących się w winie lub powstających w czasie jego dojrzewania. Starzenie nad osadem (z języka francuskiego 
48,pH ,poprzedzony wartością cyfrową symbol oznaczenia stężenia kwasów w winie. Im wyższa jego wartość tym niższy jest poziom kwasowości wina. Najczęściej spotykaną wartością dla win wytrawnych jest przedział pomiędzy 3pH a 4pH.
49,Piece,"najczęściej dębowa beczka pochodząca z Burgundii, obecnie popularna na całym świecie. Jej pojemność wynosi 228l. Potrafi wyraźnie zmienić kształt i smak wina, szczególnie, gdy jest nowa."
50,Podkładka,"część krzewu winorośli jednej rodziny, na której szczepi się część owocującą. Ma to na celu ochronę przed filokserą, ale także wykorzystanie jej indywidualnych cech, takich jak odporność na niskie temperatury podłoża."
51,Polifenole,"związki chemiczne będące pochodnymi fenolu, występujące zarówno w gronach i szypułkach jak i winie. Są ważne dla konstrukcji wina, szczególnie czerwonego, a także mają właściwości zdrowotne poprzez wiązanie wolnych rodników w organizmie ludzkim."
52,Premier cru,"pochodzący z języka francuskiego termin oznaczający winnice wyższej jakości, najczęściej używany przez producentów win w Szampanii i Burgundii."
53,Pumping over,Czynność polegająca na przepompowywaniu podczas fermentacji moszczu i wlewaniu go od góry na kożuch pozostający w dolnej partii kadzi fermentacyjnej. Ma na celu umożliwienie mocniejszego ługowania z kożucha związków potrzebnych dla konstrukcji wina.
54,Sedymentacja,"proces polegający na schłodzeniu moszczu i pozostawieniu go przez określony czas w kadzi sedymentacyjnej, aby zanieczyszczenia w nim zawarte mogły opaść na dno zbiornika. Następnie przepompowuje się moszcz do kadzi fermentacyjnej."
55,Siarczki,związki chemiczne będące pochodnymi siarkowodoru. Ich nadmierna obecność może doprowadzić do odtlenienia wina i wprowadzić w miejsce jego naturalnych aromatów zapachu przypominającego zepsute kurze jajo.
56,Stabilizowanie,"proces polegający na przeprowadzeniu szeregu czynności mających ustabilizować wino, m.in. filtrowanie, sedymentację czy dokwaszanie."
57,Szaptalizacja,"dosładzanie moszczu przed fermentacją, mające na celu podwyższenie jego potencjalnej alkoholowości i zmianę końcowego smaku. Dozwolona w chłodniejszych strefach winiarskich przy produkcji win stołowych i regionalnych."
58,Tanina,"polifenole (pochodne fenolu) występujące w winie, głównie czerwonym. Są ługowane ze skórek, pestek i szypułek podczas procesu maceracji. Dają winu potencjał do dojrzewania, w czasie którego ich właściwości ściągające ulegają stopniowemu łagodzeniu."
59,Tłoczenie,"czynność wykonywana na surowcu pozostałym po uzyskaniu samocieku. Za pomocą pras grona są wyciskane w celu uzyskania pozostałego w nich soku, który zawiera wyższą proporcję tanin i używany jest do produkcji win niższej jakości."
60,Vendange tardive,"pochodzący z języka francuskiego termin oznaczający opóźniony zbiór gron, mający na celu ubytek wody, koncentrację cukrów i pozostałych związków odpowiedzialnych za jakość moszczu. Oznaczany także w innych językach np. "
61,Vielles vignes,"pochodzący z języka francuskiego termin oznaczający użycie do produkcji wina gron wyższej jakości pochodzących ze starych krzewów, często nawet kilkudziesięcioletnich. W innych językach oznaczany: "
62,Weingut,słowo oznaczające w Niemczech producenta win.
63,Winiarstwo organiczne,"sposób prowadzenia winnic i przebiegu winifikacji bez użycia środków chemicznych, jedynie za pomocą dostępnych środków biologicznych oraz tradycyjnych metod fermentacji i dojrzewania wina. "
64,Winifikacja,"zbiór procesów i czynności wykonywanych przez producenta przy tworzeniu wina. Istnieje wiele możliwych do zrealizowania dróg tego procesu, a ich wybór zależy od zdolności i idei winiarza."
65,Wino wzmocnione,"wino gronowe, którego alkoholowość została podniesiona poprzez dodanie mocnego czystego alkoholu, zazwyczaj spirytusu gronowego. Takimi winami są m.in. porto, madera i marsala."
